^,a9,Main language spoken at home
^,l15,As far as you are aware; in the past year; how often has anything happened online that bothered or upset your child in some way (e.g. made them feel uncomfortable; upset; or feel that they shouldn’t have seen it)?
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
c,6, Don't know
x,7, Prefer not to say
^,l17,The last time something happened online that bothered or upset your child; how upset was she/he about what happened (if at all)?
a,1, Not at all upset
b,2, A bit upset
b,3, Fairly upset
b,4, Very  upset
c,5, Don't know
x,6, Prefer not to say
^,l18,In the NEXT few months; is it likely that something will happen online that will bother or upset your child? This could be things they may see; be sent or do online.
a,1, Not at all likely
a,2, Not very likely
b,3, Fairly likely
b,4, Very likely
c,5, Don't know
x,6, Prefer not to say
^,l19,Do you feel you can help your child to cope with things online that bother or upset them?
a,1, Not at all
a,2, Not very much
b,3, A fair amount
b,4, Definitely
c,5, Don't know
x,6, Prefer not to say
^,l20,Do you think your child can cope with things online that bother or upset them?
a,1, Not at all
a,2, Not very much
b,3, A fair amount
b,4, Definitely
c,5, Don't know
x,6, Prefer not to say
^,l21a,Had contact on the internet with someone that my child had not met face-to-face before
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l21b,Been treated in a hurtful or nasty way on the internet by someone? (This includes being teased repeatedly in a way he/she did not like; or being deliberately excluded or left out of things.)
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l21d,Treated someone else in a hurtful or nasty way on the internet? (This includes having teased someone repeatedly in a way he/she did not like; or threatened; or deliberately excluded or left them out of things.)
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l21c,Met anyone face-to-face that my child first got to know on the internet
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l21e,Sent or received any messages with inappropriate content in words; photos or videos (pertaining to sex; sexual intercourse or nudity) using the internet?
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l22a,Ways of physically harming themselves
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l22b,Ways of suicide
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l22c,Ways to be thin
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l22d,Hate messages
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l22e,Drug experience
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l22f,Gory images
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23a,Somebody used his or her personal information in a way he or she didn’t like
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23b,Has a virus
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23c,Lose money online
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23d,Use child's password and pretend to be him/her
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23e,Create page or image to hurt him/her
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23f,Spend too much money
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23g,Was ask to make in-app purchase in an online game
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23h,Tracked your child's phone
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24a,Seen images that are sexual
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24b,Recieve sexual message
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24c,Post sexual message
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24d,Recieve a link to x-rated website
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24e,Open message that show naked people
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24f,Seen or recieve sexual message unwated
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24g,Asked about sexual information
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24h,Asked to talk about sexual acts
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24i,Asked to do something sexual
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24j,Asked for a photo/video showing private parts
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l25a,Your child's school
a,0, No
b,1, Yes
^,l25b,TV radio news or magazine
a,0, No
b,1, Yes
^,l25c,ISP
a,0, No
b,1, Yes
^,l25d,Government
a,0, No
b,1, Yes
^,l25e,Charities
a,0, No
b,1, Yes
^,l25f,Website with Safety info
a,0, No
b,1, Yes
^,l25g,Retailers
a,0, No
b,1, Yes
^,l25h,Family or Friend
a,0, No
b,1, Yes
^,l25i,Child
a,0, No
b,1, Yes
^,l25j,Other
a,0, No
b,1, Yes
^,l25k,I don't get any
a,0, No
b,1, Yes
^,l26a,Your child's school
a,0, No
b,1, Yes
^,l26b,TV radio news or magazine
a,0, No
b,1, Yes
^,l26c,ISP
a,0, No
b,1, Yes
^,l26d,Government
a,0, No
b,1, Yes
^,l26e,Charities
a,0, No
b,1, Yes
^,l26f,Website with Safety info
a,0, No
b,1, Yes
^,l26g,Retailers
a,0, No
b,1, Yes
^,l26h,Family or Friend
a,0, No
b,1, Yes
^,l26i,Child
a,0, No
b,1, Yes
^,l26j,Other
a,0, No
b,1, Yes
^,l26k,I don't want any
a,0, No
b,1, Yes
